card_name,set_id,card_number,binder_name,page_number,slot_number,card_id,set_name,card_market_value,index
Super Potion,base1,90,1,18,7,base1-90,NOT_FOUND,0.0,1_18_7
Pokémon Center,base1,85,1,18,8,base1-85,NOT_FOUND,0.0,1_18_8
Energy Retrieval,base1,81,1,18,9,base1-81,NOT_FOUND,0.0,1_18_9
Fire Energy,base1,98,1,19,1,base1-98,NOT_FOUND,0.0,1_19_1
Lightning Energy,base1,100,1,19,2,base1-100,NOT_FOUND,0.0,1_19_2
Water Energy,base1,102,1,19,3,base1-102,NOT_FOUND,0.0,1_19_3
Grass Energy,base1,99,1,19,4,base1-99,NOT_FOUND,0.0,1_19_4
Psychic Energy,base1,101,1,19,5,base1-101,NOT_FOUND,0.0,1_19_5
Fighting Energy,base1,97,1,19,6,base1-97,NOT_FOUND,0.0,1_19_6
Double Colorless Energy,base1,96,1,19,7,base1-96,NOT_FOUND,0.0,1_19_7
Charizard,base1,4,1,19,8,base1-4,NOT_FOUND,0.0,1_19_8
Blastoise,base1,2,1,19,9,base1-2,Base,155.73,1_19_9
Venusaur,base1,15,1,20,1,base1-15,NOT_FOUND,0.0,1_20_1
Mewtwo,base1,10,1,20,2,base1-10,NOT_FOUND,0.0,1_20_2
Zapdos,base1,16,1,20,3,base1-16,NOT_FOUND,0.0,1_20_3
Gyarados,base1,6,1,20,4,base1-6,NOT_FOUND,0.0,1_20_4
Poliwrath,base1,13,1,20,5,base1-13,NOT_FOUND,0.0,1_20_5
Nidoking,base1,11,1,20,6,base1-11,NOT_FOUND,0.0,1_20_6
Hitmonchan,base1,7,1,20,7,base1-7,NOT_FOUND,0.0,1_20_7
Magneton,base1,9,1,20,8,base1-9,NOT_FOUND,0.0,1_20_8
Chansey,base1,3,1,20,9,base1-3,NOT_FOUND,0.0,1_20_9
